text,airline_sentiment
@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,neutral
@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,neutral
@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,neutral
"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",neutral
"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",neutral
@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,neutral
@VirginAmerica what happened to Doom?!,neutral
@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,neutral
@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,neutral
@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,neutral
"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",neutral
"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",neutral
@VirginAmerica why is flight 345 redirected?,neutral
@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,neutral
@VirginAmerica check out new music http://t.co/maRcnOCWzn,neutral
@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,neutral
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",neutral
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",neutral
"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",neutral
@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,neutral
@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,neutral
@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,neutral
"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",neutral
@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,neutral
@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,neutral
@VirginAmerica is your website ever coming back online?,neutral
"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",neutral
@VirginAmerica Is flight 0769 out of LGA to DFW on time?,neutral
@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,neutral
@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,neutral
@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,neutral
"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",neutral
@VirginAmerica Lister to my show my on Monday 1230 130,neutral
@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,neutral
@VirginAmerica I'd love to know what your policy is for damaged luggage.,neutral
@VirginAmerica @TTINAC11 I DM you,neutral
@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭,neutral
@VirginAmerica If only you guys had flights from CMH.,neutral
@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,neutral
“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉,neutral
@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,neutral
@VirginAmerica can you please get me to the new york area before monday afternoon,neutral
"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight",neutral
"@VirginAmerica it’s just a bug report, guys",neutral
@VirginAmerica any updates on flight 413 from Jfk &gt; Lax,neutral
@virginamerica spruce moose!,neutral
"@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh",neutral
"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G",neutral
@VirginAmerica any plans to start flying direct from DAL to LAS?,neutral
@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn,neutral
@VirginAmerica Grand Budapest Hotel #OscarsCountdown,neutral
@VirginAmerica This is what you missed @NewsVP. Next trip to the 407.,neutral
@VirginAmerica shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y,neutral
@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4,neutral
@VirginAmerica way to take advantage of #MayweatherPacquiao :),neutral
@VirginAmerica you know I'm flying virgin for the fight #MayweatherPacquiao,neutral
@VirginAmerica shares up on 4Q results - @iol http://t.co/XZ6qeG3nef,neutral
👍👍✈️✈️💗 When are you guys going to start flying to Paris? @VirginAmerica: @LizaUtter You're welcome.”,neutral
@VirginAmerica what is your policy on flying after surgery?  I am still waiting for answer so I can tell me doctor.,neutral
@VirginAmerica I think i left something on the plane yesterday. who do i call...ah!,neutral
@VirginAmerica I need you to follow back in order to DM.,neutral
@VirginAmerica Need to start flying to @KCIAirport .  😊😀😃😄,neutral
@VirginAmerica they told to check with the airline regulation first so that is why I contacted you.,neutral
@VirginAmerica what is your policy on flying after surgery?,neutral
@VirginAmerica posts second consecutive full-year net profit - @ATWOnline http://t.co/tvB5zbzVhg,neutral
@VirginAmerica Results Handily Exceed Forecasts - @NYTimes http://t.co/gonmRwEM6I,neutral
"@VirginAmerica I applied for a position in @flyLAXairport ,and I was wondering if you guys received my application.",neutral
@VirginAmerica achieves a second year of profitability despite revenue pressure ... - @CAPA_Aviation http://t.co/zSuZTNAIJq,neutral
"@VirginAmerica gives positive outlook, but sees increased competition - @Reuters http://t.co/jEu7Od3eYJ",neutral
@VirginAmerica weather delays &gt; next few weeks ;) #JFK #BOS #DCA,neutral
@VirginAmerica @madbee95 check the website before you go to the airport!,neutral
@VirginAmerica pilot says we expect a choppy landing in NYC due to some gusty winds w/a temperature of about 5 degrees &amp; w/the windchill -8,neutral
@VirginAmerica is saving my sanity right now: http://t.co/ELtBOLjUl9,neutral
@VirginAmerica missed my flight. How does standby work?,neutral
@VirginAmerica brought it all the way across the country today I see http://t.co/TKaUyGcPmS,neutral
@VirginAmerica are you ready!? Let's say it together.. 'Noooo turbulence today!' 😘,neutral
@VirginAmerica can u help this 👸 @FreyaBevan_Fund needs urgent treatment in🇺🇸2y old battling cancer could u help with flights 💗#freyasfund,neutral
@virginamerica may start service to Hawaii from #SanFrancisco this year http://t.co/yPo7nYpRZl #biztravel,neutral
@VirginAmerica add DTW and I'm sold!,neutral
@VirginAmerica momma I made it! 😁😁😁,neutral
@VirginAmerica please contact me about portfolio left on flight VX 27 from JFK to SFO tonite seat 7AM. Need it returned. Call 914-329-0185.,neutral
@VirginAmerica help. I was On  Flight  27 from JKF tonight. seat 7C left portfolio. Need it back!!,neutral
@VirginAmerica @shrinerack Seattle bound. Wifey got me the duffle for vday. She's a keeper!!! Holla!!! http://t.co/JlOIbLnair,neutral
@VirginAmerica Debbie Baldwin gave a #rockstar performance of the safety demo this evening on VX919 #LAS2SFO #BestCrew #SheRocks,neutral
"@VirginAmerica Many Thanks for the Follow.
#ourprincess #freyasfund #USA #Bandie 
Looking for Any Help😍
💗🇬🇧💗🇺🇸💗
🎀🌏🎀 http://t.co/UJfS9Zi6kd",neutral
"@VirginAmerica Nice, Lofty View @flyLAXairport. #SilverStatus http://t.co/F4Tp0dAwbd",neutral
@VirginAmerica is my new go to airline,neutral
"@VirginAmerica @VirginAtlantic @GMA @AmericanAir 
Can You Help #ourprincess in need of some help in #USA 
🎀🇬🇧🎀🇺🇸🎀 http://t.co/778AzTDaer",neutral
@VirginAmerica Flight Booking Problems flight to uphold my status match.  Do taxes on ticket count as earned status points?  #statusmatch #virginamerica,neutral
@VirginAmerica to jump into the #Dallas #Austin market http://t.co/SzR0pioA21,neutral
@virginamerica.. Can you help? Left my blazer in. Kooples jacket bag at 3rd row second seat from right gate 36 T3 lax.. Flight to sfo,neutral
@VirginAmerica partners with @Visa Checkout as mobile payment method to help boost mobile conversion rates #etailwest #payments #visa,neutral
@VirginAmerica i would like help with some flights please.,neutral
Bruh “@VirginAmerica: @giannilee Turn down for what. #VXSafetyDance”,neutral
@virginamerica Digging the swanky pink mood lighting during the flight from NYC to SFO.  Just needs a cabaret singer.  Think about it!,neutral
"@VirginAmerica Done, but I need the receipt ASAP. Could you please help? #150219-000114",neutral
"@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race 
http://t.co/SfjDuahx9Z by @skift",neutral
"@VirginAmerica I just did, how can I DM? Do u have to also add me?",neutral
"@VirginAmerica Anytime, sugafly.",neutral
@VirginAmerica I need a receipt for a flight change. Can you send one?,neutral
"@VirginAmerica CEO says #Southwest &amp; #jetblue have strayed from low cost model.
http://t.co/96Sctomh29",neutral
@VirginAmerica a brilliant brisk am in Boston in cue for vx363 http://t.co/rMZNIVGmg6,neutral
@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/FVUdmh27pF @TheNationalUAE,neutral
@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/DCoBoKN7EE @TheNationalUAE,neutral
@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/vw4P4T4tLh @TheNationalUAE,neutral
@VirginAmerica when are you flying to hawaii,neutral
.@VirginAmerica If only you guys were starting those flights at the end of the month! Guess I’m still road tripping on Feb 27…,neutral
"@VirginAmerica announced New Route to Austin w/fares from $39/way. 
http://t.co/gA8pbamu0C",neutral
@VirginAmerica Really? Sprint? I thought you guys were 'kewl'! 0_0,neutral
@VirginAmerica you should have 39 dollar LAX-Las fares!!!,neutral
@VirginAmerica You should still develop an app - then you will be my favorite airline.,neutral
@VirginAmerica no A's channel this year?,neutral
@VirginAmerica Only thing I see on passbook is Virgin Mobile Mexico. How do I integrate?,neutral
@VirginAmerica is helping me step up my @Tinder game! #TinderTips #tinderchamp http://t.co/jBmVVha63A,neutral
"@VirginAmerica announces new nonstop connecting @AUStinAirport &amp; @DallasLoveField, $39 intro: http://t.co/qXnOaQtYN8 http://t.co/JK7qmdfqgf",neutral
@VirginAmerica adds Austin-Dallas Love Field route. http://t.co/XWJoL55FLH http://t.co/Y8AOrMfkaC,neutral
"@VirginAmerica - can you tweet me the Cancelled Flight/chng fee for a flight? or can I rebook under one of your affiliates? If so, who are afiliates?",neutral
"@VirginAmerica Now, when will we see VirginAmerica come to Philadelphia (PHL).",neutral
@VirginAmerica to start 5xweekly #A319 flights from to #Dallas @DallasLoveField #Austin on 28APR #avgeek,neutral
@VirginAmerica Nice to see you expanding in Texas but don't forget about us here in #SanDiego. I would love to see more flights out of here!,neutral
"@VirginAmerica to battle @SouthwestAir on @DallasLoveField-@AUStinAirport route 
http://t.co/6RLz0EBk2X via @usatoday",neutral
@VirginAmerica I miss the #nerdbird in San Jose,neutral
@VirginAmerica can we make every VX plane with #nerdbird? Why should Austin be the only one getting nerd love?,neutral
@VirginAmerica please add more frequency to PDX Portland,neutral
@VirginAmerica @AmericanAir can u help with flights to get a 2y old battling cancer who needs treatment in 🇺🇸 @FreyaBevan_Fund 💗 🎀 💗,neutral
@VirginAmerica does Virgin America fly direct from Seattle to NYC or Boston?,neutral
@VirginAmerica save some for 871 tomorrow AM!,neutral
@VirginAmerica @JezzieGoldz club Virgin is bumping in New York http://t.co/HaQc7GDg7c,neutral
@VirginAmerica is that #thestarter??😁,neutral
@VirginAmerica ...Please come to Minneapolis St. Paul!,neutral
@VirginAmerica YES FYI  MY BFF,neutral
@VirginAmerica do you have an application for iOS? Was looking and only saw Virgin Mexico :( &lt;/3,neutral
@VirginAmerica Good point!,neutral
.@VirginAmerica I heard he has a virgin mobile hotspot ;),neutral
@VirginAmerica you got cheese pLate Flights too.,neutral
@VirginAmerica On all your flights?,neutral
@VirginAmerica how come ABC is the only one of the network channels you don't have?,neutral
"@VirginAmerica Dear Virgin customer, while you're stranded in SF for 3 days &amp; $1000cost- we'll do the very least we can to accommodate you!",neutral
@VirginAmerica should use this in their next airline commercial lol :: http://t.co/pXEXIlSjBs,neutral
@virginamerica Any way to change from Main Cabin to Main Cabin Select (on same flight) without paying a change fee penalty?,neutral
@VirginAmerica Can you give me Silver Status for 12 months?,neutral
@VirginAmerica Are there any sign up bonuses to enroll in Elevate?,neutral
@VirginAmerica morning. If I have a question regarding elevate points &amp; flights can I DM you?,neutral
@VirginAmerica still waiting to see  @Starryeyes_Dev_  😞,neutral
@VirginAmerica was wondering if you guys recieved my dm and we're able to potentially respond asap,neutral
“@VirginAmerica: Book out of town with fares from $59/way (+restr). http://t.co/xRdTOV7nl8 http://t.co/4Y78byAckc” @JenniferDawnPro,neutral
@united even on international flight Glasgow to the U.S.? Then what about orlando to Newark? All 90 mins?,neutral
"@united I understand, but it's tough when there is no way to get to the airport w/o serious risk of an accident. It's a steep price.",neutral
@united flying gla-mco in a few weeks. How long do we have to be at airport for before departure for both international and domestic? Ta,neutral
@united why not? Is it a law or a policy?,neutral
"@united no I don't, but I'm sure United have my info on its system.",neutral
@united Just submitted my response on the link you sent.,neutral
"@united yes, David Allan send an email with this number (KMM24999563V99860L0KM) and case#8719519",neutral
"@united yes, a paper voucher that I got on January 26th 2015",neutral
"@united Do I need to use a Chase United Club pass for my 8yr old son, or can he come in with me on my pass?",neutral
@united and what am I suppose to do with that number?,neutral
@united I lost a voucher that I was given in Miami aeroport on jan 26. I did not use it.,neutral
@united @CheerTymeDad Gee that's like almost caring about ppl more than $$.  Think I'm more int in having a trusted adult w/ daughter .,neutral
@united that's right- with an overnight Miami.,neutral
@united Have clients with an 11 hr layover at IAH (during the day). Will they have to claim &amp; recheck luggage. Or will it be taken care of?,neutral
"@united I am trying to find out if the loaner seat is new or used, a used car seat is illegal according to safety regulations",neutral
@united i DMed you the details,neutral
"@united Kewl. Will also let them know the overhead bin over my row was ""Inop"". I love a good abbreve.",neutral
@united thanks again for your concern. I will contact customer care upon our return from Australia.,neutral
@united 6533 ORD to DCA,neutral
"@united Cancelled Flighted our flight, didn't rebook us on added flight, now have to drive from a Denver to KC....thanks!",neutral
@united your announcement for pre boarding only addresses mobility. My disability requires me to travel with a lot of stuff. Do I preboard?,neutral
@united the os isn't controlled by me but rather @VerizonWireless .  App is new.,neutral
@united It was last night's 1235/ORD-LGA.,neutral
@united thank you !,neutral
@united dm these nuts,neutral
@united thanks for the info I already knew...,neutral
@united Airline trouble this winter &amp; not getting good customer service? contact http://t.co/aQjn4HwNaC  we negotiate resolutions for You!,neutral
@united Thank you.,neutral
@united is there an email address I can reach? Too long for a DM.,neutral
@united So do I need to book two one ways in order for her to fly as an unaccompanied minor?,neutral
@united Pls Help Baby Hannah get the life saving surgeries she requires.She needs your help.Pls Donate/RT http://t.co/kQnrrP86A5,neutral
"@united bet you wont honour them, like mine ey",neutral
"@united I guess that's too much ask, huh?",neutral
@united please be good to me this weekend!,neutral
@united A Tourist Wonder: Super Tides and Tide of the Century at French and U.K coasts: http://t.co/gXdqORtsS0,neutral
@united yall should probably work on that.,neutral
@united yes please! Trying to get to POP- in Newark now....,neutral
@united I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours? 🙏,neutral
@united can someone please explain the process of of what happens to property found on a plane after passengers leave at Heathrow ?,neutral
@united DM does not work what do I do?,neutral
@united how about 3659 YUL-ORD?,neutral
@united Done and done,neutral
.Thnx for the response @united bot. It seems this 'improvement' could be easily attained. Is your 1st Class service really only worth $50?,neutral
"@united booked award tix on ThaiAirways but I'm not seeing a conf# for them, just the United Flight Booking Problems#. Can you get get the Thai# for me?",neutral
@united is flight 587 from DFW to ORD currently on-time? I see an advisory that DFW may be affected by weather,neutral
@united so if I'm flying 1st class just one leg to Chicago but not on my long flight to China am I still able to use the lounge in Chicago,neutral
@united Okay thank you,neutral
@united I've filed the claim but have no way of calling for updates. Is there another way to do this?,neutral
@united Any luck with finalizing my reservation? I DM'd information to you. Please let me know what else you need. Want to confirm ASAP. Thx,neutral
@united keep me updated. Let me know that the bags make the flight to j-burg,neutral
@united I would like to know what's going on before his current flight lands.,neutral
@united This is NOT a local UNITED number for Malaysia   0011 800-55558000. What is your local United Airlines here in Kuala Lumpur ( KUL )?,neutral
"@united I send you an urgent message via eservice@united.com.  BG0KWM   Narayanan. Please respond ASAP. Also, NO local United Tel # @ KUL",neutral
@united thanks! Will you guys be getting the A380s anytime soon?,neutral
@united I sent in my feedback.  Thank you.,neutral
@united yes I do.,neutral
@united Deep Vein thrombosis,neutral
@united unfortunately still on the Tarmac at @fly2ohare and definitely missing my ride from @flypdx #GonnaBeALongNight,neutral
@united what time does check in open for flight no UA80 from Manchester to Newark today ?,neutral
@united DM sent,neutral
"@united Follow me back, please, and I'll happily DM you the link because I'd rather not share my travel plans publicly.",neutral
@united @luke_mcintosh68 nah you wouldn't,neutral
@united Our vacation's going to be ruined w/ 3 days of rain. : ( The change fee for 2 of us is nearly cost of original flight. Can you help?,neutral
@united I sent the message. Let me know ASAP.,neutral
"@united i understand, thanks",neutral
"@united My post was just more of disappointment.  I'm a frequent United flyer, it was a simple ??.  1 bad apple doesn't spoil the bunch.",neutral
@united Please help... I am in Ethiopia adopting a two year old child. Have an existing confirmation #. Need to add child to reservation.,neutral
"@united question:are there onboad 110 volt outlets in all planes? If so, where?",neutral
@united Twitter isn't letting me DM you..,neutral
@united I hope so too,neutral
@United an idea: monitor mileage members travel patterns enough to know when they change jobs/lose status...and make the transition easier.,neutral
@united where is my flight voucher?,neutral
"@united rebooting Chicago dispatch system, need @pivotalcf as I'm tired of sitting on planes",neutral
@united the aircraft closest to gate was for the other flight and the one closest to our gate was going to Chicago.,neutral
@united My mom left her Kindle on flight 1544 today. Burgundy case with a light. Seat 27D. Did anyone find it?,neutral
Decisions Decisions @MandarinJourney @united:  We'd love for you to try our service. We offer status match too. http://t.co/xbQqqbRgVF ^KP”,neutral
Need more info on that! @united: @momsgoodeats We have great amenity kits. PJ's not included. We status match AA. ^KP”,neutral
@united Do you have any flights with lie flat seating from STL to PDX around the date of March 5?,neutral
"@united @RenoAirport hi, when do direct flights from Houston to Reno begin?  Don't see any days in March?",neutral
@united like continental's chicken feat fairs,neutral
@united can you assist with current flight status for flt# 1016 out of DFW tomorrow at 6:55am?,neutral
"@united to be clear on my luggage comment, I am referencing the photo attached. Flight 6232 to JAC http://t.co/PnBajfkmHG",neutral
@united Greetings. UA Club member here. Any idea if I can use the Air Canada Lounge at YVR. Flying UA tomorrow.,neutral
@united how is Mexico not international from the us?,neutral
Just sent thank u RT @united: @goodenufmother Please DM your confirmation number if reFlight Booking Problems is needed. Thank you. ^EY,neutral
@United so what’s the deal? Do u provide voucher for overnight or am I cozy on the floor at #OHare ? #gross #HelpMePlease #AnyoneThere,neutral
@united please upload the March on-demand entertainment listing on your website! ✈️,neutral
"@united did you have seen my message today?? About a mcdonnell Douglas dc 10 model?? I will hear it if you read it, Goodnight now",neutral
@united what's a girl gotta do to get a flight name change when SHE bought one for a mean ex boyfriend and needs a girl's trip stat?!,neutral
@united thank you. We are signed up for notifications. We shall watch and wait! ❄️❄️,neutral
@united I would love if someone could get me back to Austin tonight and I do not wish to wait til tomorrow morning.,neutral
@united I have a 0530 flight out of DFW on Tuesday. How far in advance will you give notice if Cancelled Flightled?,neutral
@united When will direct flights from Belfast Intl to Newark resume from their winter break? Thanks.,neutral
"@united yes, after this awful weather it appears I can get home",neutral
@united the person is currently bettween gates 71A and 73 in LAX,neutral
@united thank you for the quick response but I cannot dm you until you follow me as well,neutral
"@united I need the phone number to baggage claim in LAX, my mom left her phone and someone called saying they would put it there but on",neutral
"@United will not have to honor absurdly low mistake fares.
http://t.co/2Z3Jv73IlW vía @usatoday",neutral
"@united thanks! It's 35K miles from RTB to Europe, to do a multiple destination so we could stop over in US on way/way back- mileage diff?",neutral
@united done,neutral
"@united Thank you, ^JH, appreciate the prompt responses--me and other passengers will be doing so.",neutral
"@united hi guys, do you have a general enquires email address please? Thanks David.",neutral
"@united I am buying 2 yo own seat on 3 legs of intl trip, car seat? Required? If not- then allowed? Can child still sit w/mom after takeoff?",neutral
.@united For those playing along at home: http://t.co/2b4bDTldX2,neutral
Thanks @united. @imran_r44 had a question about the wait time for baggage on UA6366,neutral
"@united 8602947, jon at http://t.co/58tuTgli0D, thanks.",neutral
Flight Booking Problems for a travel writers trip I am hosting and need to be happy when I land! Do you have the cute PJs AA does? @united,neutral
But I don't see AA @united,neutral
@united Did you find out where it is? Thanks,neutral
@united I can't DM you so here's the confirmation # G8CVWJ - please is there any way I can make it to Kailua tonight? Thank you,neutral
@united Definitely will!,neutral
@united what gate is ua5396 leaving from?,neutral
@united fails again. @SouthwestAir saves the day.,neutral
@united. It's not my first time flying to the US. I have medical info. Looking for practical like my adapted seat cushion allowed on?,neutral
"@united Hi, Im flying SFO-LAX-SAL-CLO. My connecting time in LAX is 1h45m. Is it enough time? Do I have to collect my bag and recheck on AV?",neutral
"@United States faundation was by faith Judeo Cristian,@Not it was by ideologias.@ http://t.co/mWBk68k0A3",neutral
@United are you able to see if there are seats open on another flight??,neutral
@united @retailbagholder hahaha. At least they gave u a refund.,neutral
@united BUT you have received confirmation via email that you are confirmed and ticketed on this flight.,neutral
"@united After speaking to a United customer service rep the night before a flight, confirming that everything is ok with your reservation..",neutral
@united #UnitedAirlines Any other way ORD to ABQ anytime within the next 7 hours?,neutral
@united follow back and I'll give you the details.,neutral
"@united @scotthroth scott, need a good book suggestion?",neutral
@united please see dm!!,neutral
@united 4 people MCI to DEL. Preferably with Jet Airways EWR-BRU-DEL segment. Anytime in December,neutral
@united at the gate! IAD to RDU,neutral
@United to operated #B767-300ER from #Newark to #Zurich @ZRH_airport replacing B767-400ER between 6MAY-23SEP instead till 23OCT #avgeek,neutral
@united Hi! what is the phone number for reservations in Venezuela? Thanks,neutral
@united can I request a ticket change through twitter ?,neutral
@United to start daily #B777-200ER flights from #Newark to #Milan #Malpensa replacing #B767-400ER on 7APR instead 28MAR #avgeek,neutral
@United to start daily #B777-200ER flights from #Newark to #Frankfurt @airport_fra replacing #B767-400ER on 2JUL #avgeek,neutral
@united Thank you for your response!,neutral
@united Left item n the seatback on UA1260. Is there any way to call DCA to ask if they have the item? Already submitted lost &amp; found report,neutral
@united I DM'd child's birthdate and full name.,neutral
@united Lisa J is amazing the guy not so much.,neutral
@united two years old.  Birthdate 11/13/2012,neutral
@united I already did.,neutral
@united what would it cost,neutral
@united I've got a campus visit in an hour and I'm still wearing the same clothes...,neutral
@United Adopting 2 yr old child from Ethiopia. Flying from ADD to GRR on 2/28.  Need to add child to reservation and get costs.  Help!  Thx,neutral
"@united good morning, any first class upgrades available for ua1619 Feb 25  rsw to ewr? I need 4 seats please",neutral
@united DM sent as requested. Make sure you follow back so you can DM me back. Thanks,neutral
@united please help http://t.co/t5mRj5Yw6I,neutral
@united WHy is my KTN not showing on my boarding?  Why is TSA pre-check not applying to my boarding pass?,neutral
@united sitting in the middle for the first time .. Hope it works out well,neutral
@united and learn how to book flights. http://t.co/MHHS9RUpLv,neutral
@united Thanks. Got it straightend out last night.,neutral
@united any chance flight 3745 is being delayed??  nervous about driving to DFW in this weather to drop off my brother,neutral
@united Will definitely do so. Sending a DM now.,neutral
@united - Group 2 line gets longer every week. Almost no one left for Groups 3-5 anymore. Time to make Explorer Card Group 3?,neutral
@united hi -- @united was. Thank you!,neutral
@united Any news about the departure of the flight UA51?,neutral
@united someone should send a note to the revenue management team and ask about all the open BF and GF seats on 919.,neutral
"@united basically, I need to leave from Hawaii Late Flight evening (midnight) and get back to Philly Late Flight Monday night. Most trips get me in Tues",neutral
@united yes please. Going to drive the 6 hours.,neutral
@united the child is two years old,neutral
@united followed you and DM'd you,neutral
@united  @DENAirport United 787 in snowy Denver. http://t.co/w1AaKJumXA,neutral
@united can you help me add my KTN to this reservation PLZ?,neutral
@united whats UA 1205 lax - newark ??,neutral
@united you'll be hearing from me for sure.,neutral
@united In Ethiopia adopting a child.  Need flight home from ADD to GRR Late Flight 2/27 or very early 2/28. (need to change existing reservation),neutral
"@united UA flight 1247. SFO to LAX took my carry on at gate. I'm Group 2, overhead bins are empty",neutral
@united I just booked a flight for (2). When I view my reservation it has MI connected to First name. Is this a problem? can it be changed?,neutral
@united How do I get through @TSA to finally board UA 1534?,neutral
@united @reccewife with the exception of everything you've asked for. Heh,neutral
@united UA1469. Just landed.,neutral
@united flight 435,neutral
@united She is travelling from Melbourne (Australia ) to Bogota (Colombia) tomorrow,neutral
@united Hi.  My relative's Flight Booking Problems number is MY8YB4.  Her name is Clarita Jaramillo Mejia.  Thank you,neutral
@united Why have airlines always told us they can't open a cabin door once it has been closed?  This plane has done it 3 times tonight.,neutral
@united Can you tell me Jet Airways award availability?,neutral
@united What are the chances of my flight to EWR from PIT being Cancelled Flighted tomorrow?,neutral
@united @baftz rcvd promo if i booked flight silver status would be extended it was not dont have flier that was sent didnt think id need,neutral
@united on a flight at 11:30 tomorrow.,neutral
@united booked EWR-FLL in first for two on 3-8. Let's see how you compare to the garbage @AmericanAir first class has become,neutral
